# Assembly Statistics Report
# Assembly name:  ASM230231v1
# Organism name:  Escherichia coli (E. coli)
# Infraspecific name:  strain=ETEC-2265
# Taxid:          562
# BioSample:      SAMN07503734
# BioProject:     PRJNA398221
# Submitter:      Karolinska Institutet
# Date:           2017-09-14
# Assembly type:  na
# Release type:   major
# Assembly level: Complete Genome
# Genome representation: full
# Assembly method: HGAP3 v. 3
# Expected final version: yes
# Genome coverage: 596x
# Sequencing technology: PacBio
# GenBank assembly accession: GCA_002302315.1
# RefSeq assembly accession: GCF_002302315.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002302325.1	GCF_002302325.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
Primary Assembly	na	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	na	Chromosome	assembled-molecule	scaffold-N50	5088339
Primary Assembly	na	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	na	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	na	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	na	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	na	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	na	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	na	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	na	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	unnamed1	Plasmid	all	total-length	142368
Primary Assembly	unnamed1	Plasmid	all	ungapped-length	142368
Primary Assembly	unnamed1	Plasmid	all	scaffold-count	1
Primary Assembly	unnamed1	Plasmid	all	scaffold-N50	142368
Primary Assembly	unnamed1	Plasmid	all	spanned-gaps	0
Primary Assembly	unnamed1	Plasmid	all	unspanned-gaps	0
Primary Assembly	unnamed1	Plasmid	assembled-molecule	total-length	142368
Primary Assembly	unnamed1	Plasmid	assembled-molecule	ungapped-length	142368
Primary Assembly	unnamed1	Plasmid	assembled-molecule	scaffold-count	1
Primary Assembly	unnamed1	Plasmid	assembled-molecule	scaffold-N50	142368
Primary Assembly	unnamed1	Plasmid	assembled-molecule	spanned-gaps	0
Primary Assembly	unnamed1	Plasmid	assembled-molecule	unspanned-gaps	0
Primary Assembly	unnamed1	Plasmid	unlocalized-scaffold	total-length	0
Primary Assembly	unnamed1	Plasmid	unlocalized-scaffold	ungapped-length	0
Primary Assembly	unnamed1	Plasmid	unlocalized-scaffold	scaffold-count	0
Primary Assembly	unnamed1	Plasmid	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	unnamed1	Plasmid	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	unnamed1	Plasmid	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	unnamed2	Plasmid	all	total-length	88757
Primary Assembly	unnamed2	Plasmid	all	ungapped-length	88757
Primary Assembly	unnamed2	Plasmid	all	scaffold-count	1
Primary Assembly	unnamed2	Plasmid	all	scaffold-N50	88757
Primary Assembly	unnamed2	Plasmid	all	spanned-gaps	0
Primary Assembly	unnamed2	Plasmid	all	unspanned-gaps	0
Primary Assembly	unnamed2	Plasmid	assembled-molecule	total-length	88757
Primary Assembly	unnamed2	Plasmid	assembled-molecule	ungapped-length	88757
Primary Assembly	unnamed2	Plasmid	assembled-molecule	scaffold-count	1
Primary Assembly	unnamed2	Plasmid	assembled-molecule	scaffold-N50	88757
Primary Assembly	unnamed2	Plasmid	assembled-molecule	spanned-gaps	0
Primary Assembly	unnamed2	Plasmid	assembled-molecule	unspanned-gaps	0
Primary Assembly	unnamed2	Plasmid	unlocalized-scaffold	total-length	0
Primary Assembly	unnamed2	Plasmid	unlocalized-scaffold	ungapped-length	0
Primary Assembly	unnamed2	Plasmid	unlocalized-scaffold	scaffold-count	0
Primary Assembly	unnamed2	Plasmid	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	unnamed2	Plasmid	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	unnamed2	Plasmid	unlocalized-scaffold	unspanned-gaps	0
